kx	ky	Q3(up)
0.302541	0.562833	0.191336
0.112052	0.452854	0.192561
0.123258	0.459324	0.193411
0.134463	0.465793	0.193716
0.145668	0.472262	0.193412
0.156873	0.478732	0.192561
0.168078	0.485201	0.191335
0.179284	0.49167	0.189959
0.190489	0.49814	0.188652
0.201694	0.517548	0.185622
0.212899	0.524017	0.18482
0.224105	0.530486	0.18442
0.23531	0.536956	0.18442
0.246515	0.543425	0.18482
0.25772	0.549894	0.185622
0.268926	0.556364	0.186805
0.280131	0.562833	0.188292
0.291336	0.569302	0.18993
0.302541	0.575772	0.191493
0.112052	0.465793	0.192728
0.123258	0.472262	0.193411
0.134463	0.478732	0.193411
0.145668	0.485201	0.192728
0.156873	0.49167	0.191493
0.168078	0.498139	0.18993
0.179284	0.504609	0.188292
0.190489	0.511078	0.186805
0.201694	0.530486	0.183659
0.212899	0.536956	0.182944
0.224105	0.543425	0.182704
0.23531	0.549894	0.182944
0.246515	0.556364	0.183658
0.25772	0.562833	0.18482
0.268926	0.569302	0.186358
0.280131	0.575772	0.188131
0.291336	0.582241	0.18993
0.302541	0.58871	0.191493
0.112052	0.478732	0.192561
0.123258	0.485201	0.192942
0.134463	0.49167	0.192561
0.145668	0.49814	0.191493
0.156873	0.504609	0.18993
0.168078	0.511078	0.188131
0.179284	0.517548	0.186358
0.190489	0.524017	0.18482
0.201694	0.543425	0.181908
0.212899	0.549894	0.181376
0.224105	0.556364	0.181376
0.23531	0.562833	0.181908
0.246515	0.569302	0.182944
0.25772	0.575772	0.18442
0.268926	0.582241	0.186212
0.280131	0.58871	0.188131
0.291336	0.59518	0.189929
0.302541	0.601649	0.191336
0.112052	0.49167	0.19211
0.123258	0.498139	0.19211
0.134463	0.504609	0.191335
0.145668	0.511078	0.18993
0.156873	0.517548	0.188131
0.168078	0.524017	0.186212
0.179284	0.530486	0.18442
0.190489	0.536956	0.182944
0.201694	0.556364	0.180543
0.212899	0.562833	0.18026
0.224105	0.569302	0.180543
0.23531	0.575772	0.181376
0.246515	0.582241	0.182704
0.25772	0.58871	0.18442
0.268926	0.59518	0.186358
0.280131	0.601649	0.188292
0.291336	0.608118	0.189959
0.302541	0.614588	0.191095
0.112052	0.504609	0.191499
0.123258	0.511078	0.191095
0.134463	0.517548	0.189959
0.145668	0.524017	0.188292
0.156873	0.530486	0.186358
0.168078	0.536956	0.18442
0.179284	0.543425	0.182704
0.190489	0.549894	0.181377
0.201694	0.569302	0.179684
0.212899	0.575772	0.179684
0.224105	0.582241	0.180261
0.23531	0.58871	0.181376
0.246515	0.59518	0.182944
0.25772	0.601649	0.18482
0.268926	0.608118	0.186805
0.280131	0.614588	0.188652
0.291336	0.621057	0.190091
0.302541	0.627526	0.190884
0.112052	0.517548	0.190884
