#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 350 152
# Band-Index:    1
   4.10831    -43.446825    -43.446820
   4.12556    -43.446741    -43.446736
   4.14281    -43.446650    -43.446644
   4.16006    -43.446552    -43.446547
   4.17732    -43.446452    -43.446446
   4.19457    -43.446349    -43.446343
   4.21182    -43.446255    -43.446246
   4.22907    -43.446204    -43.446193
 
# Band-Index:    2
   4.22907    -43.446197    -43.446185
   4.21182    -43.446250    -43.446240
   4.19457    -43.446346    -43.446339
   4.17732    -43.446448    -43.446441
   4.16006    -43.446547    -43.446541
   4.14281    -43.446641    -43.446636
   4.12556    -43.446730    -43.446725
   4.10831    -43.446811    -43.446806
   4.09106    -43.446885    -43.446880
   4.07381    -43.446951    -43.446947
   4.05656    -43.447009    -43.447005
   4.03931    -43.447058    -43.447054
   4.02206    -43.447098    -43.447094
   4.00481    -43.447128    -43.447124
   3.98756    -43.447149    -43.447145
   3.97031    -43.447162    -43.447158
   3.95306    -43.447166    -43.447163
   3.93581    -43.447162    -43.447159
   3.91856    -43.447149    -43.447146
   3.90131    -43.447128    -43.447126
   3.88406    -43.447101    -43.447099
   3.86681    -43.447067    -43.447065
   3.84955    -43.447027    -43.447025
   3.83230    -43.446982    -43.446980
   3.81505    -43.446932    -43.446931
   3.79780    -43.446879    -43.446878
   3.78055    -43.446822    -43.446822
   3.76330    -43.446765    -43.446765
   3.74605    -43.446707    -43.446707
   3.72880    -43.446653    -43.446653
   3.71155    -43.446640    -43.446634
   3.69430    -43.446707    -43.446702
   3.67705    -43.446774    -43.446771
   3.65980    -43.446830    -43.446827
   3.64255    -43.446873    -43.446870
   3.62530    -43.446901    -43.446899
   3.60805    -43.446916    -43.446914
   3.59080    -43.446916    -43.446914
   3.57355    -43.446900    -43.446898
   3.55630    -43.446870    -43.446868
   3.53904    -43.446825    -43.446823
   3.52179    -43.446766    -43.446763
   3.50454    -43.446691    -43.446688
   3.48729    -43.446603    -43.446600
   3.47004    -43.446502    -43.446499
   3.45279    -43.446390    -43.446386
   3.43554    -43.446268    -43.446264
   3.41829    -43.446142    -43.446136
   3.40104    -43.446032    -43.446020
   3.38379    -43.446001    -43.445977
   3.38379    -43.446001    -43.445977
   3.37518    -43.445995    -43.445980
   3.36656    -43.446005    -43.445999
   3.35795    -43.446055    -43.446056
   3.34934    -43.446129    -43.446132
   3.34073    -43.446211    -43.446214
   3.33212    -43.446293    -43.446297
   3.32350    -43.446376    -43.446379
   3.31489    -43.446456    -43.446459
   3.30628    -43.446535    -43.446538
   3.29767    -43.446611    -43.446614
   3.28905    -43.446685    -43.446688
   3.28044    -43.446756    -43.446759
   3.27183    -43.446824    -43.446827
   3.26322    -43.446890    -43.446892
   3.25460    -43.446953    -43.446956
   3.24599    -43.447014    -43.447016
   3.23738    -43.447071    -43.447074
   3.22877    -43.447127    -43.447129
   3.22015    -43.447179    -43.447182
   3.21154    -43.447230    -43.447233
   3.20293    -43.447278    -43.447281
   3.19432    -43.447324    -43.447327
   3.18571    -43.447367    -43.447370
   3.17709    -43.447407    -43.447410
   3.16848    -43.447446    -43.447448
   3.15987    -43.447481    -43.447484
   3.15126    -43.447515    -43.447518
   3.14264    -43.447546    -43.447549
   3.13403    -43.447575    -43.447578
   3.12542    -43.447602    -43.447605
   3.11681    -43.447628    -43.447631
   3.10819    -43.447651    -43.447654
   3.09958    -43.447671    -43.447675
   3.09097    -43.447691    -43.447694
   3.08236    -43.447708    -43.447711
   3.07374    -43.447723    -43.447726
   3.06513    -43.447737    -43.447741
   3.05652    -43.447751    -43.447754
   3.04791    -43.447762    -43.447766
   3.03930    -43.447773    -43.447777
   3.03068    -43.447782    -43.447786
   3.02207    -43.447789    -43.447793
   3.01346    -43.447796    -43.447800
   3.00485    -43.447801    -43.447805
   2.99623    -43.447806    -43.447810
   2.98762    -43.447809    -43.447813
   2.97901    -43.447811    -43.447815
   2.97040    -43.447813    -43.447817
   2.96178    -43.447813    -43.447817
   2.96178    -43.447813    -43.447817
   2.94685    -43.447792    -43.447795
   2.93192    -43.447739    -43.447740
   2.91699    -43.447670    -43.447670
   2.90206    -43.447591    -43.447590
   2.88712    -43.447506    -43.447505
   2.87219    -43.447414    -43.447413
   2.85726    -43.447317    -43.447315
   2.84233    -43.447216    -43.447214
   2.82740    -43.447111    -43.447109
   2.81246    -43.447005    -43.447003
   2.79753    -43.446898    -43.446896
   2.78260    -43.446796    -43.446793
   2.76767    -43.446703    -43.446700
   2.75274    -43.446627    -43.446623
   2.73780    -43.446562    -43.446558
   2.72287    -43.446500    -43.446496
   2.70794    -43.446433    -43.446428
   2.69301    -43.446356    -43.446351
   2.67808    -43.446269    -43.446264
   2.66314    -43.446171    -43.446166
   2.64821    -43.446062    -43.446056
   2.63328    -43.445945    -43.445938
   2.61835    -43.445836    -43.445826
   2.60342    -43.445821    -43.445810
   2.58849    -43.445933    -43.445925
   2.57355    -43.446063    -43.446057
   2.55862    -43.446189    -43.446183
   2.54369    -43.446305    -43.446299
   2.52876    -43.446409    -43.446404
   2.51383    -43.446502    -43.446496
   2.49889    -43.446582    -43.446576
   2.48396    -43.446650    -43.446645
   2.46903    -43.446707    -43.446701
   2.45410    -43.446750    -43.446745
   2.43917    -43.446781    -43.446776
   2.42423    -43.446801    -43.446796
   2.40930    -43.446809    -43.446803
   2.39437    -43.446804    -43.446799
   2.37944    -43.446788    -43.446782
   2.36451    -43.446760    -43.446754
   2.34957    -43.446721    -43.446716
   2.33464    -43.446673    -43.446667
   2.31971    -43.446615    -43.446609
   2.30478    -43.446549    -43.446543
   2.28985    -43.446475    -43.446469
   2.27491    -43.446397    -43.446390
   2.25998    -43.446315    -43.446307
   2.24505    -43.446238    -43.446229
   2.23012    -43.446197    -43.446185
   2.23012    -43.446197    -43.446185
   2.22540    -43.446203    -43.446192
   2.22068    -43.446219    -43.446209
   2.21597    -43.446242    -43.446232
   2.21125    -43.446269    -43.446260
   2.20653    -43.446298    -43.446289
   2.20181    -43.446327    -43.446319
   2.19709    -43.446357    -43.446350
   2.19238    -43.446387    -43.446380
   2.18766    -43.446416    -43.446409
   2.18294    -43.446445    -43.446439
   2.17822    -43.446475    -43.446468
   2.17351    -43.446503    -43.446497
   2.16879    -43.446531    -43.446525
   2.16407    -43.446559    -43.446552
   2.15935    -43.446586    -43.446579
   2.15463    -43.446612    -43.446606
   2.14992    -43.446637    -43.446631
   2.14520    -43.446662    -43.446656
   2.14048    -43.446686    -43.446680
   2.13576    -43.446709    -43.446703
   2.13105    -43.446732    -43.446726
   2.12633    -43.446754    -43.446748
   2.12161    -43.446775    -43.446769
   2.11689    -43.446795    -43.446790
   2.11217    -43.446815    -43.446809
   2.10746    -43.446834    -43.446828
   2.10274    -43.446852    -43.446846
   2.09802    -43.446869    -43.446864
   2.09330    -43.446886    -43.446880
   2.08859    -43.446902    -43.446896
   2.08387    -43.446917    -43.446911
   2.07915    -43.446931    -43.446926
   2.07443    -43.446945    -43.446939
   2.06972    -43.446957    -43.446952
   2.06500    -43.446969    -43.446963
   2.06028    -43.446980    -43.446974
   2.05556    -43.446990    -43.446984
   2.05084    -43.446999    -43.446993
   2.04613    -43.447008    -43.447002
   2.04141    -43.447016    -43.447010
   2.03669    -43.447023    -43.447017
   2.03197    -43.447029    -43.447023
   2.02726    -43.447034    -43.447029
   2.02254    -43.447039    -43.447033
   2.01782    -43.447042    -43.447037
   2.01310    -43.447045    -43.447040
   2.00838    -43.447047    -43.447042
   2.00367    -43.447050    -43.447044
   1.99895    -43.447050    -43.447045
   1.99895    -43.447050    -43.447045
   1.98170    -43.447044    -43.447039
   1.96445    -43.447026    -43.447021
   1.94720    -43.446993    -43.446988
   1.92995    -43.446946    -43.446942
   1.91270    -43.446887    -43.446883
   1.89545    -43.446816    -43.446811
   1.87819    -43.446731    -43.446727
   1.86094    -43.446636    -43.446631
   1.84369    -43.446528    -43.446523
   1.82644    -43.446408    -43.446403
   1.80919    -43.446280    -43.446274
   1.79194    -43.446161    -43.446152
   1.77469    -43.446137    -43.446127
   1.75744    -43.446248    -43.446242
   1.74019    -43.446382    -43.446378
   1.72294    -43.446512    -43.446509
   1.70569    -43.446634    -43.446631
   1.68844    -43.446745    -43.446742
   1.67119    -43.446843    -43.446841
   1.65394    -43.446929    -43.446928
   1.63669    -43.447003    -43.447002
   1.61944    -43.447064    -43.447063
   1.60219    -43.447112    -43.447110
   1.58494    -43.447145    -43.447143
   1.56768    -43.447165    -43.447162
   1.55043    -43.447171    -43.447169
   1.53318    -43.447163    -43.447161
   1.51593    -43.447143    -43.447140
   1.49868    -43.447108    -43.447105
   1.48143    -43.447059    -43.447057
   1.46418    -43.446999    -43.446997
   1.44693    -43.446927    -43.446926
   1.42968    -43.446842    -43.446842
   1.41243    -43.446747    -43.446750
   1.39518    -43.446643    -43.446651
   1.37793    -43.446537    -43.446547
   1.36068    -43.446428    -43.446434
   1.34343    -43.446308    -43.446312
   1.32618    -43.446191    -43.446188
   1.30893    -43.446200    -43.446193
   1.29168    -43.446294    -43.446291
   1.27443    -43.446393    -43.446391
   1.25717    -43.446484    -43.446482
   1.23992    -43.446564    -43.446562
   1.22267    -43.446633    -43.446632
   1.20542    -43.446688    -43.446688
   1.18817    -43.446730    -43.446730
   1.17092    -43.446756    -43.446756
   1.15367    -43.446766    -43.446766
   1.15367    -43.446766    -43.446766
   1.14506    -43.446764    -43.446765
   1.13645    -43.446760    -43.446760
   1.12783    -43.446753    -43.446753
   1.11922    -43.446745    -43.446745
   1.11061    -43.446735    -43.446735
   1.10200    -43.446724    -43.446723
   1.09338    -43.446710    -43.446710
   1.08477    -43.446694    -43.446693
   1.07616    -43.446676    -43.446674
   1.06755    -43.446656    -43.446653
   1.05894    -43.446635    -43.446631
   1.05032    -43.446618    -43.446612
   1.04171    -43.446609    -43.446601
   1.03310    -43.446607    -43.446601
   1.02449    -43.446603    -43.446598
   1.01587    -43.446596    -43.446593
   1.00726    -43.446589    -43.446585
   0.99865    -43.446581    -43.446577
   0.99004    -43.446573    -43.446569
   0.98142    -43.446565    -43.446561
   0.97281    -43.446557    -43.446553
   0.96420    -43.446549    -43.446546
   0.95559    -43.446542    -43.446538
   0.94697    -43.446535    -43.446531
   0.93836    -43.446528    -43.446524
   0.92975    -43.446521    -43.446517
   0.92114    -43.446515    -43.446511
   0.91253    -43.446508    -43.446504
   0.90391    -43.446502    -43.446498
   0.89530    -43.446497    -43.446493
   0.88669    -43.446491    -43.446487
   0.87808    -43.446486    -43.446481
   0.86946    -43.446481    -43.446476
   0.86085    -43.446476    -43.446471
   0.85224    -43.446471    -43.446467
