#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 306 104
# Band-Index:    1
   1.75986    -14.149772    -14.155475
   1.75451    -14.151955    -14.157457
   1.74917    -14.154066    -14.159361
   1.74383    -14.156104    -14.161188
   1.73849    -14.158064    -14.162935
   1.73314    -14.159948    -14.164602
   1.72780    -14.161752    -14.166187
   1.72246    -14.163476    -14.167688
   1.71712    -14.165118    -14.169106
   1.71177    -14.166678    -14.170440
   1.70643    -14.168155    -14.171690
   1.70109    -14.169548    -14.172853
   1.69575    -14.170856    -14.173930
   1.69040    -14.172079    -14.174921
   1.68506    -14.173215    -14.175824
   1.67972    -14.174264    -14.176639
   1.67438    -14.175227    -14.177366
   1.66903    -14.176102    -14.178005
   1.66369    -14.176888    -14.178555
   1.65835    -14.177587    -14.179017
   1.65301    -14.178197    -14.179389
   1.64766    -14.178718    -14.179672
   1.64232    -14.179150    -14.179866
   1.63698    -14.179493    -14.179971
   1.63164    -14.179747    -14.179986
   1.62629    -14.179911    -14.179911
   1.62629    -14.179911    -14.179911
   1.62095    -14.179986    -14.179747
   1.61561    -14.179971    -14.179493
   1.61027    -14.179866    -14.179150
   1.60492    -14.179672    -14.178718
   1.59958    -14.179389    -14.178197
   1.59424    -14.179017    -14.177587
   1.58890    -14.178555    -14.176888
   1.58355    -14.178005    -14.176102
   1.57821    -14.177366    -14.175227
   1.57287    -14.176639    -14.174264
   1.56753    -14.175823    -14.173215
   1.56218    -14.174920    -14.172079
   1.55684    -14.173930    -14.170856
   1.55150    -14.172853    -14.169548
   1.54616    -14.171690    -14.168155
   1.54081    -14.170440    -14.166678
   1.53547    -14.169106    -14.165118
   1.53013    -14.167688    -14.163476
   1.52479    -14.166187    -14.161752
   1.51944    -14.164602    -14.159948
   1.51410    -14.162935    -14.158065
   1.50876    -14.161188    -14.156104
   1.50342    -14.159361    -14.154066
   1.49807    -14.157457    -14.151956
   1.49273    -14.155475    -14.149772
   1.48739    -14.153419    -14.147519
   1.48205    -14.151288    -14.145197
   1.47670    -14.149087    -14.142811
   1.47136    -14.146817    -14.140365
   1.46602    -14.144480    -14.137860
   1.46068    -14.142080    -14.135303
   1.45533    -14.139621    -14.132699
   1.44999    -14.137106    -14.130053
   1.44465    -14.134539    -14.127374
   1.43931    -14.131928    -14.124670
   1.43396    -14.129277    -14.121952
   1.42862    -14.126596    -14.119233
   1.42328    -14.123893    -14.116530
   1.41794    -14.121180    -14.113862
   1.41259    -14.118470    -14.111253
   1.40725    -14.115780    -14.108733
   1.40191    -14.113131    -14.106338
   1.39657    -14.110549    -14.104112
   1.39122    -14.108065    -14.102107
   1.38588    -14.105716    -14.100380
   1.38054    -14.103549    -14.098993
   1.37520    -14.101616    -14.098005
   1.36985    -14.099976    -14.097465
   1.36451    -14.098690    -14.097401
   1.35917    -14.097817    -14.097817
   1.35917    -14.097817    -14.097817
   1.34415    -14.098078    -14.101000
   1.32912    -14.103528    -14.110714
   1.31410    -14.113556    -14.122399
   1.29908    -14.126796    -14.136320
   1.28405    -14.142144    -14.151808
   1.26903    -14.158877    -14.168393
   1.25401    -14.176524    -14.185738
   1.23898    -14.194759    -14.203585
   1.22396    -14.213339    -14.221732
   1.20894    -14.232077    -14.240014
   1.19391    -14.250824    -14.258296
   1.17889    -14.269454    -14.276461
   1.16387    -14.287863    -14.294412
   1.14884    -14.305963    -14.312065
   1.13382    -14.323677    -14.329344
   1.11880    -14.340940    -14.346187
   1.10377    -14.357696    -14.362539
   1.08875    -14.373891    -14.378347
   1.07373    -14.389479    -14.393564
   1.05870    -14.404418    -14.408152
   1.04368    -14.418672    -14.422072
   1.02866    -14.432208    -14.435293
   1.01363    -14.444999    -14.447786
   0.99861    -14.457016    -14.459524
   0.98359    -14.468239    -14.470485
   0.96856    -14.478645    -14.480646
   0.95354    -14.488215    -14.489989
   0.93852    -14.496934    -14.498498
   0.92349    -14.504787    -14.506157
   0.90847    -14.511761    -14.512952
   0.89345    -14.517847    -14.518875
   0.87842    -14.523034    -14.523914
   0.86340    -14.527318    -14.528064
