#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 204 192
# Band-Index:    1
   1.02225    -60.338465    -60.338465
   1.01277    -60.338465    -60.338465
   1.00330    -60.338465    -60.338465
   0.99382    -60.338465    -60.338465
   0.98434    -60.338465    -60.338465
   0.97487    -60.338465    -60.338465
   0.96539    -60.338465    -60.338465
   0.95591    -60.338465    -60.338465
   0.94643    -60.338465    -60.338465
   0.93696    -60.338465    -60.338465
   0.92748    -60.338465    -60.338465
   0.91800    -60.338465    -60.338465
   0.90853    -60.338465    -60.338465
   0.89905    -60.338465    -60.338465
   0.88957    -60.338465    -60.338465
   0.88010    -60.338466    -60.338466
   0.87062    -60.338466    -60.338466
   0.86114    -60.338466    -60.338466
   0.85167    -60.338466    -60.338466
   0.84219    -60.338465    -60.338465
   0.83271    -60.338466    -60.338466
   0.82323    -60.338466    -60.338466
   0.81376    -60.338466    -60.338466
   0.80428    -60.338466    -60.338466
   0.79480    -60.338466    -60.338466
   0.78533    -60.338466    -60.338466
   0.77585    -60.338466    -60.338466
   0.76637    -60.338466    -60.338466
   0.75690    -60.338466    -60.338466
   0.74742    -60.338466    -60.338466
   0.74742    -60.338466    -60.338466
   0.74195    -60.338466    -60.338466
   0.73648    -60.338466    -60.338466
   0.73101    -60.338466    -60.338466
   0.72553    -60.338466    -60.338466
   0.72006    -60.338466    -60.338466
   0.71459    -60.338466    -60.338466
   0.70912    -60.338466    -60.338466
   0.70365    -60.338466    -60.338466
   0.69818    -60.338466    -60.338466
   0.69270    -60.338466    -60.338466
   0.68723    -60.338466    -60.338466
   0.68176    -60.338466    -60.338466
   0.67629    -60.338466    -60.338466
   0.67082    -60.338466    -60.338466
   0.66535    -60.338466    -60.338466
   0.65988    -60.338466    -60.338466
   0.65440    -60.338466    -60.338466
   0.64893    -60.338466    -60.338466
   0.64346    -60.338466    -60.338466
   0.63799    -60.338466    -60.338466
   0.63252    -60.338466    -60.338466
   0.62705    -60.338466    -60.338466
   0.62158    -60.338466    -60.338466
   0.61610    -60.338466    -60.338466
   0.61063    -60.338466    -60.338466
   0.60516    -60.338466    -60.338466
   0.59969    -60.338466    -60.338466
   0.59422    -60.338466    -60.338466
   0.58875    -60.338465    -60.338465
   0.58327    -60.338465    -60.338465
   0.57780    -60.338465    -60.338465
   0.57233    -60.338466    -60.338466
   0.56686    -60.338466    -60.338466
   0.56139    -60.338466    -60.338466
   0.55592    -60.338466    -60.338466
   0.55045    -60.338466    -60.338466
   0.54497    -60.338466    -60.338466
   0.53950    -60.338466    -60.338466
   0.53403    -60.338466    -60.338466
   0.52856    -60.338465    -60.338465
